epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1081.13,1.07238,0.62029,1.05535,0.8125,0.78693,0.87372,0.56629,1.13885,0.69027,1.11774,0.000703961,0.000703961,0.000703961
43,1106.49,1.06037,0.61031,1.05137,0.8319,0.75996,0.8653,0.57746,1.13026,0.68738,1.11815,0.000686277,0.000686277,0.000686277
44,1131.82,1.05369,0.6194,1.05027,0.85537,0.77333,0.87351,0.57304,1.13489,0.69043,1.12767,0.000668593,0.000668593,0.000668593
45,1157.94,1.05832,0.59829,1.04477,0.78529,0.76425,0.84017,0.56274,1.12501,0.70273,1.11776,0.000650909,0.000650909,0.000650909
46,1183.74,1.04894,0.60385,1.0448,0.80802,0.80591,0.87988,0.58921,1.10275,0.6752,1.09816,0.000633226,0.000633226,0.000633226
47,1209.75,1.04283,0.60278,1.03838,0.80355,0.79347,0.87109,0.56942,1.12107,0.67771,1.1174,0.000615542,0.000615542,0.000615542
48,1237.09,1.04212,0.59175,1.04232,0.78665,0.82111,0.86667,0.57703,1.12244,0.67728,1.10909,0.000597858,0.000597858,0.000597858
49,1262.99,1.03084,0.59423,1.0354,0.81829,0.79586,0.87773,0.58778,1.09115,0.67184,1.09065,0.000580174,0.000580174,0.000580174
50,1289.3,1.03082,0.59142,1.04194,0.80812,0.80137,0.87395,0.59127,1.09362,0.66272,1.10099,0.00056249,0.00056249,0.00056249
51,1316.38,1.01478,0.57822,1.02955,0.79646,0.82414,0.87545,0.58613,1.09817,0.66055,1.10335,0.000544806,0.000544806,0.000544806
52,1343.34,1.03026,0.5937,1.04363,0.84419,0.79634,0.88099,0.58121,1.11834,0.66263,1.11457,0.000527122,0.000527122,0.000527122
53,1369.94,1.01457,0.57387,1.02313,0.79336,0.81704,0.87362,0.58186,1.10951,0.65311,1.10601,0.000509438,0.000509438,0.000509438
54,1395.45,0.99445,0.55821,1.0206,0.77602,0.81334,0.87003,0.57471,1.11783,0.67204,1.11669,0.000491755,0.000491755,0.000491755
55,1420.8,1.00249,0.57309,1.02728,0.79249,0.82036,0.8771,0.59293,1.12124,0.65724,1.11524,0.000474071,0.000474071,0.000474071
56,1447.6,1.00015,0.57121,1.02819,0.80902,0.79057,0.87279,0.58657,1.1234,0.67307,1.11604,0.000456387,0.000456387,0.000456387
57,1473.95,0.99448,0.55123,1.0211,0.79186,0.83468,0.87821,0.58701,1.10072,0.65029,1.10669,0.000438703,0.000438703,0.000438703
