epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.5784,1.69149,2.5601,1.33457,0.92878,0.0374,0.37431,0.22782,1.27479,2.77698,1.18938,0.000464715,0.000464715,0.000464715
2,12.6553,1.60859,1.65615,1.28661,0.71194,0.10854,0.35453,0.20681,1.36677,2.51383,1.26103,0.000929403,0.000929403,0.000929403
3,17.3692,1.58107,1.45939,1.24407,0.66036,0.62546,0.659,0.40657,1.38301,1.46219,1.2528,0.0013823,0.0013823,0.0013823
4,22.1113,1.55303,1.37411,1.25283,0.61787,0.72839,0.71849,0.36405,1.70059,1.29739,1.4586,0.00137595,0.00137595,0.00137595
5,26.9903,1.55707,1.29662,1.24371,0.65168,0.57553,0.66937,0.37777,1.42168,1.17834,1.27679,0.00135826,0.00135826,0.00135826
6,31.6785,1.51432,1.19042,1.22288,0.69822,0.72703,0.73353,0.44035,1.3485,1.0066,1.2337,0.00134058,0.00134058,0.00134058
7,36.462,1.53126,1.19845,1.24305,0.79686,0.72671,0.78307,0.47073,1.36236,0.94399,1.236,0.0013229,0.0013229,0.0013229
8,41.2908,1.50121,1.0908,1.22175,0.80627,0.73739,0.78157,0.49564,1.26003,0.84594,1.17964,0.00130521,0.00130521,0.00130521
9,46.432,1.48476,1.07166,1.22146,0.74389,0.74621,0.73182,0.45133,1.32787,0.971,1.19999,0.00128753,0.00128753,0.00128753
10,51.3235,1.4777,1.02941,1.19347,0.7936,0.76756,0.80141,0.5038,1.25173,0.86401,1.15851,0.00126985,0.00126985,0.00126985
11,56.6995,1.47188,1.0185,1.18517,0.77061,0.75527,0.7595,0.47764,1.28481,0.84099,1.18012,0.00125216,0.00125216,0.00125216
12,61.6063,1.462,0.98846,1.20405,0.75716,0.71183,0.75046,0.42505,1.42292,0.86257,1.24125,0.00123448,0.00123448,0.00123448
13,66.8054,1.43738,0.95374,1.19829,0.77022,0.71069,0.78448,0.50107,1.29989,0.90091,1.17638,0.00121679,0.00121679,0.00121679
14,72.017,1.40669,0.93627,1.17812,0.78248,0.75236,0.77653,0.48052,1.28393,0.81207,1.18242,0.00119911,0.00119911,0.00119911
15,76.9832,1.42502,0.90199,1.18278,0.83932,0.75292,0.78638,0.43439,1.48081,0.82942,1.2935,0.00118143,0.00118143,0.00118143
16,82.2225,1.41456,0.9079,1.18259,0.70403,0.75344,0.72797,0.43367,1.35765,0.88277,1.21544,0.00116374,0.00116374,0.00116374
17,87.3815,1.41189,0.90297,1.17122,0.80785,0.7591,0.79018,0.4964,1.28896,0.78368,1.17264,0.00114606,0.00114606,0.00114606
18,92.5557,1.41949,0.89552,1.18519,0.82873,0.72676,0.78925,0.45827,1.43711,0.84899,1.25717,0.00112837,0.00112837,0.00112837
19,97.7982,1.39941,0.87153,1.1733,0.8184,0.75954,0.79899,0.51472,1.23717,0.75735,1.16432,0.00111069,0.00111069,0.00111069
20,103.589,1.37928,0.86469,1.16249,0.82234,0.72444,0.78454,0.45043,1.45754,0.80592,1.28197,0.00109301,0.00109301,0.00109301
21,108.9,1.36123,0.81817,1.16104,0.81993,0.77703,0.81898,0.52773,1.26872,0.75708,1.17012,0.00107532,0.00107532,0.00107532
22,113.88,1.35132,0.79612,1.13967,0.80684,0.76173,0.79246,0.50828,1.24016,0.71566,1.15321,0.00105764,0.00105764,0.00105764
23,119.042,1.37793,0.8185,1.15444,0.83581,0.73321,0.80426,0.51435,1.25503,0.74022,1.1691,0.00103995,0.00103995,0.00103995
24,124.187,1.32827,0.78572,1.13824,0.81291,0.74064,0.78236,0.48452,1.28997,0.74853,1.1812,0.00102227,0.00102227,0.00102227
25,129.174,1.33201,0.78574,1.14964,0.85336,0.71338,0.82189,0.49307,1.34259,0.74814,1.20843,0.00100459,0.00100459,0.00100459
26,134.399,1.3128,0.78542,1.12826,0.81238,0.75562,0.80409,0.50361,1.30436,0.75028,1.20799,0.000986903,0.000986903,0.000986903
27,139.529,1.32131,0.78277,1.13744,0.83783,0.73483,0.80222,0.5127,1.29406,0.74273,1.19051,0.000969219,0.000969219,0.000969219
28,145,1.29842,0.75297,1.11902,0.81018,0.76086,0.81003,0.4982,1.30511,0.72567,1.20092,0.000951535,0.000951535,0.000951535
29,150.273,1.2561,0.728,1.10987,0.83125,0.72827,0.8184,0.48246,1.37566,0.74353,1.23721,0.000933851,0.000933851,0.000933851
30,155.871,1.27569,0.73981,1.13587,0.79941,0.74765,0.79578,0.4982,1.27836,0.73816,1.19242,0.000916168,0.000916168,0.000916168
31,161.446,1.28061,0.71898,1.12621,0.89098,0.78341,0.80782,0.51051,1.30475,0.70416,1.19817,0.000898484,0.000898484,0.000898484
32,166.94,1.30379,0.74397,1.12344,0.84863,0.72282,0.79222,0.50644,1.30945,0.7199,1.2035,0.0008808,0.0008808,0.0008808
33,172.238,1.29462,0.73941,1.1261,0.79645,0.81365,0.82469,0.4893,1.37001,0.70092,1.23378,0.000863116,0.000863116,0.000863116
34,178.425,1.27981,0.72298,1.12121,0.83581,0.76338,0.80835,0.50036,1.28156,0.67065,1.1998,0.000845432,0.000845432,0.000845432
35,183.815,1.26403,0.7083,1.12001,0.72688,0.82255,0.77577,0.46167,1.3773,0.74458,1.24703,0.000827748,0.000827748,0.000827748
36,189.402,1.25783,0.7097,1.11618,0.80945,0.75542,0.80455,0.49982,1.29966,0.72555,1.20023,0.000810064,0.000810064,0.000810064
37,194.969,1.23334,0.68376,1.09644,0.83207,0.78186,0.81246,0.47354,1.43399,0.73835,1.26695,0.00079238,0.00079238,0.00079238
38,200.282,1.22041,0.67379,1.10135,0.77945,0.78737,0.80983,0.52494,1.26149,0.66844,1.17723,0.000774697,0.000774697,0.000774697
39,205.667,1.21616,0.68025,1.09203,0.88759,0.76617,0.80659,0.5143,1.30312,0.66888,1.19751,0.000757013,0.000757013,0.000757013
40,211.051,1.24706,0.68953,1.10424,0.75047,0.79797,0.81288,0.50607,1.2935,0.75124,1.1915,0.000739329,0.000739329,0.000739329
41,217.133,1.19938,0.66796,1.09287,0.78211,0.79118,0.80469,0.48098,1.40185,0.72031,1.25647,0.000721645,0.000721645,0.000721645
42,222.551,1.19369,0.65618,1.09224,0.82412,0.75012,0.79274,0.46418,1.43354,0.71394,1.26819,0.000703961,0.000703961,0.000703961
43,227.925,1.19326,0.6621,1.0719,0.85258,0.74256,0.81806,0.48569,1.3864,0.69803,1.23575,0.000686277,0.000686277,0.000686277
