epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1284,2.03915,2.80979,1.55273,0.00956,0.60321,0.25871,0.13133,1.87631,3.00871,1.60048,0.000464715,0.000464715,0.000464715
2,29.4434,1.90839,1.88266,1.46366,0.57763,0.13665,0.27897,0.13473,1.7512,2.68389,1.47077,0.000929403,0.000929403,0.000929403
3,42.807,1.87515,1.69001,1.43259,0.50171,0.38552,0.39726,0.19109,1.85268,2.03943,1.5983,0.0013823,0.0013823,0.0013823
4,54.2314,1.84224,1.596,1.41812,0.60725,0.49903,0.52181,0.28964,1.70238,1.52173,1.48109,0.00137595,0.00137595,0.00137595
5,67.7523,1.82751,1.50035,1.38123,0.62019,0.59631,0.59849,0.33899,1.72242,1.37495,1.47239,0.00135826,0.00135826,0.00135826
6,79.2495,1.7688,1.42188,1.37475,0.59564,0.61814,0.59857,0.32109,1.71345,1.33712,1.48519,0.00134058,0.00134058,0.00134058
7,91.9784,1.79948,1.4309,1.38427,0.5599,0.62654,0.6299,0.33606,1.72784,1.3304,1.5088,0.0013229,0.0013229,0.0013229
8,107.45,1.75313,1.35593,1.37028,0.58873,0.65296,0.65348,0.35454,1.68668,1.29405,1.48124,0.00130521,0.00130521,0.00130521
9,117.723,1.75432,1.3319,1.38602,0.63239,0.6414,0.65718,0.3678,1.63849,1.20245,1.44358,0.00128753,0.00128753,0.00128753
10,131.635,1.72067,1.25959,1.34436,0.60381,0.68207,0.66111,0.37547,1.60928,1.15672,1.42487,0.00126985,0.00126985,0.00126985
11,144.542,1.71975,1.25125,1.32647,0.6134,0.62269,0.63331,0.35012,1.63552,1.2377,1.44595,0.00125216,0.00125216,0.00125216
12,154.541,1.69965,1.24551,1.34705,0.62014,0.67437,0.6581,0.32782,1.77783,1.22873,1.51292,0.00123448,0.00123448,0.00123448
13,168.033,1.68678,1.22374,1.35033,0.68432,0.67037,0.66711,0.37824,1.61966,1.17651,1.44894,0.00121679,0.00121679,0.00121679
14,176.96,1.66391,1.19219,1.32345,0.68707,0.6679,0.69584,0.37199,1.68878,1.16238,1.45584,0.00119911,0.00119911,0.00119911
15,183.615,1.65236,1.15232,1.31905,0.62144,0.70323,0.67594,0.36014,1.68388,1.18037,1.45869,0.00118143,0.00118143,0.00118143
16,190.304,1.63093,1.14162,1.31037,0.67059,0.68671,0.6941,0.3738,1.69265,1.11183,1.49377,0.00116374,0.00116374,0.00116374
17,196.896,1.64636,1.12427,1.30574,0.59353,0.62789,0.61528,0.33465,1.65015,1.19073,1.43976,0.00114606,0.00114606,0.00114606
18,203.367,1.65163,1.14193,1.31184,0.70992,0.675,0.69575,0.3917,1.63639,1.10134,1.43495,0.00112837,0.00112837,0.00112837
19,210.07,1.62582,1.10934,1.30803,0.64792,0.67557,0.70309,0.38485,1.70117,1.08974,1.46885,0.00111069,0.00111069,0.00111069
20,218.486,1.6351,1.11452,1.30727,0.65523,0.67704,0.68464,0.34742,1.81075,1.18132,1.53245,0.00109301,0.00109301,0.00109301
21,225.184,1.60947,1.08179,1.29387,0.704,0.66799,0.68727,0.39129,1.61164,1.07495,1.43383,0.00107532,0.00107532,0.00107532
22,231.927,1.58007,1.04804,1.27154,0.62553,0.66511,0.67534,0.3627,1.67122,1.10246,1.47306,0.00105764,0.00105764,0.00105764
23,242.267,1.5928,1.04602,1.2744,0.66777,0.70056,0.71466,0.40821,1.60293,1.06143,1.43468,0.00103995,0.00103995,0.00103995
24,253.491,1.57296,1.02186,1.26701,0.6639,0.71675,0.7158,0.37704,1.70474,1.07794,1.47673,0.00102227,0.00102227,0.00102227
25,264.865,1.56694,1.01284,1.27992,0.69934,0.68088,0.69701,0.35329,1.7172,1.09072,1.48342,0.00100459,0.00100459,0.00100459
26,273.311,1.55485,0.99175,1.25164,0.72051,0.67973,0.6913,0.38229,1.67611,1.06071,1.46316,0.000986903,0.000986903,0.000986903
27,280.045,1.54904,1.00693,1.26888,0.72339,0.69128,0.71556,0.39883,1.61633,1.04937,1.42689,0.000969219,0.000969219,0.000969219
28,286.585,1.53489,0.98854,1.2538,0.70506,0.67572,0.70394,0.38831,1.63547,1.05754,1.43451,0.000951535,0.000951535,0.000951535
29,299.628,1.52238,0.9725,1.25293,0.65641,0.67425,0.69067,0.37167,1.70506,1.08872,1.48943,0.000933851,0.000933851,0.000933851
30,310.429,1.51318,0.97205,1.26093,0.66372,0.69997,0.69196,0.38551,1.6645,1.05941,1.47128,0.000916168,0.000916168,0.000916168
31,324.224,1.5364,0.95749,1.26424,0.67295,0.69354,0.68772,0.3739,1.66664,1.03354,1.49731,0.000898484,0.000898484,0.000898484
32,339.547,1.50814,0.94155,1.23867,0.71368,0.69308,0.6949,0.39614,1.6117,1.05171,1.44016,0.0008808,0.0008808,0.0008808
33,352.421,1.51624,0.96285,1.24873,0.70333,0.6897,0.70545,0.37063,1.73338,1.06543,1.5166,0.000863116,0.000863116,0.000863116
34,368.538,1.49721,0.93844,1.23625,0.69231,0.72301,0.69933,0.36646,1.71509,1.05431,1.51631,0.000845432,0.000845432,0.000845432
35,383.93,1.48606,0.9217,1.24373,0.74534,0.65939,0.70349,0.38783,1.63633,1.01862,1.46151,0.000827748,0.000827748,0.000827748
36,397.196,1.49024,0.92036,1.23376,0.71543,0.70716,0.70381,0.38223,1.68447,1.03339,1.49956,0.000810064,0.000810064,0.000810064
37,411.433,1.45246,0.87541,1.21684,0.68425,0.66918,0.66843,0.35237,1.73891,1.11544,1.50824,0.00079238,0.00079238,0.00079238
38,427.208,1.43939,0.89008,1.20846,0.74549,0.67857,0.72044,0.38906,1.7103,1.01046,1.50136,0.000774697,0.000774697,0.000774697
39,443.141,1.44721,0.89361,1.21055,0.7502,0.6963,0.70378,0.38373,1.6512,1.01885,1.45907,0.000757013,0.000757013,0.000757013
40,457.367,1.46075,0.90409,1.21362,0.70464,0.67962,0.70589,0.39136,1.63902,1.03293,1.4717,0.000739329,0.000739329,0.000739329
41,474.083,1.4315,0.86557,1.2148,0.74176,0.67909,0.69677,0.37235,1.74972,1.0397,1.55585,0.000721645,0.000721645,0.000721645
42,488.845,1.42435,0.86732,1.21317,0.76339,0.69071,0.7147,0.39425,1.67697,1.02356,1.48431,0.000703961,0.000703961,0.000703961
43,503.08,1.42317,0.84439,1.18984,0.68537,0.6876,0.70274,0.38215,1.69894,0.99942,1.50693,0.000686277,0.000686277,0.000686277
44,518.481,1.41383,0.85399,1.18771,0.75235,0.68217,0.71714,0.38683,1.70307,1.01095,1.51508,0.000668593,0.000668593,0.000668593
45,535.921,1.42401,0.84169,1.18657,0.73245,0.67042,0.70243,0.38377,1.7022,1.02216,1.53363,0.000650909,0.000650909,0.000650909
46,548.379,1.41584,0.83835,1.19371,0.72266,0.70133,0.68732,0.38467,1.70619,1.00694,1.51436,0.000633226,0.000633226,0.000633226
47,563.143,1.39781,0.83815,1.18488,0.73944,0.70585,0.71448,0.397,1.68061,0.9937,1.49443,0.000615542,0.000615542,0.000615542
48,578.85,1.3656,0.8226,1.17043,0.71414,0.70306,0.70495,0.37784,1.74017,0.99586,1.53167,0.000597858,0.000597858,0.000597858
49,593.12,1.368,0.81391,1.15552,0.73258,0.71334,0.72089,0.39574,1.67698,0.99197,1.50278,0.000580174,0.000580174,0.000580174
50,609.698,1.36632,0.82181,1.16866,0.79644,0.68765,0.7165,0.40654,1.66127,0.99431,1.48454,0.00056249,0.00056249,0.00056249
51,624.972,1.36286,0.8077,1.17086,0.71707,0.72663,0.71412,0.39221,1.69361,0.99867,1.50055,0.000544806,0.000544806,0.000544806
52,639.38,1.35246,0.79417,1.16052,0.71152,0.73396,0.69949,0.38643,1.73282,1.02181,1.52751,0.000527122,0.000527122,0.000527122
53,656.639,1.32749,0.78741,1.14238,0.74339,0.69913,0.70895,0.39821,1.68898,0.99059,1.52097,0.000509438,0.000509438,0.000509438
54,673.382,1.33261,0.77841,1.15039,0.75685,0.70053,0.71213,0.39516,1.678,0.9815,1.50617,0.000491755,0.000491755,0.000491755
55,686.989,1.33229,0.76804,1.14764,0.74701,0.71689,0.70101,0.37819,1.75232,0.98787,1.53555,0.000474071,0.000474071,0.000474071
56,702.413,1.32093,0.75849,1.13228,0.76521,0.67459,0.70558,0.39247,1.71743,0.9758,1.52911,0.000456387,0.000456387,0.000456387
57,718.723,1.32346,0.76863,1.15346,0.72309,0.71356,0.69523,0.39972,1.6843,0.98151,1.50952,0.000438703,0.000438703,0.000438703
58,734.395,1.29398,0.75377,1.13775,0.69375,0.71649,0.6974,0.37944,1.74554,1.00514,1.54736,0.000421019,0.000421019,0.000421019
59,749.716,1.29885,0.75801,1.13983,0.74108,0.70028,0.7063,0.39125,1.75376,1.00553,1.56124,0.000403335,0.000403335,0.000403335
60,765.13,1.28868,0.74989,1.12892,0.75228,0.69164,0.7035,0.39535,1.71444,0.98305,1.53957,0.000385651,0.000385651,0.000385651
61,780.173,1.29299,0.74865,1.12768,0.7113,0.69695,0.69937,0.39094,1.73202,0.99068,1.55321,0.000367967,0.000367967,0.000367967
62,795.585,1.27625,0.73981,1.12771,0.74515,0.68917,0.71134,0.39944,1.72902,0.97913,1.54425,0.000350284,0.000350284,0.000350284
63,812.528,1.27429,0.73314,1.12014,0.75601,0.65885,0.69906,0.37801,1.75847,0.98433,1.55914,0.0003326,0.0003326,0.0003326
64,823.806,1.26069,0.73313,1.11931,0.7596,0.69139,0.70372,0.39157,1.73254,0.99601,1.53881,0.000314916,0.000314916,0.000314916
65,838.551,1.25826,0.7201,1.11842,0.75853,0.69583,0.71214,0.38749,1.74959,0.97811,1.56142,0.000297232,0.000297232,0.000297232
66,855.965,1.24561,0.71581,1.11978,0.72203,0.68738,0.69374,0.39284,1.7361,1.00297,1.55684,0.000279548,0.000279548,0.000279548
67,868.752,1.23917,0.71382,1.10732,0.75484,0.69293,0.69306,0.39164,1.74247,1.00004,1.55806,0.000261864,0.000261864,0.000261864
68,885.282,1.22767,0.7026,1.09375,0.73352,0.7114,0.6992,0.392,1.72274,0.97201,1.54802,0.00024418,0.00024418,0.00024418
69,896.259,1.23894,0.70164,1.09417,0.73239,0.70878,0.69787,0.38383,1.76953,0.99605,1.57941,0.000226497,0.000226497,0.000226497
70,908.561,1.22306,0.70334,1.10481,0.75236,0.67833,0.69152,0.38947,1.7533,0.98265,1.57916,0.000208813,0.000208813,0.000208813
71,921.821,1.2146,0.67286,1.12892,0.73913,0.67052,0.68486,0.37758,1.78137,0.99366,1.61142,0.000191129,0.000191129,0.000191129
72,934.488,1.19556,0.65613,1.11122,0.70799,0.69668,0.69408,0.3731,1.79229,0.99973,1.6131,0.000173445,0.000173445,0.000173445
73,944.838,1.17199,0.63811,1.10302,0.763,0.67231,0.70391,0.3908,1.73684,0.97617,1.57295,0.000155761,0.000155761,0.000155761
74,959.13,1.16724,0.62908,1.08784,0.7342,0.68373,0.6923,0.38532,1.74403,0.9892,1.58047,0.000138077,0.000138077,0.000138077
75,970.873,1.16192,0.62848,1.09636,0.75171,0.68838,0.70939,0.38729,1.75238,0.99303,1.58148,0.000120393,0.000120393,0.000120393
76,985.997,1.1327,0.61583,1.07979,0.74542,0.68652,0.70362,0.3866,1.76909,0.99687,1.59773,0.000102709,0.000102709,0.000102709
77,1003.12,1.11946,0.60823,1.0753,0.77004,0.68475,0.70503,0.38759,1.74311,0.97777,1.58608,8.50255e-05,8.50255e-05,8.50255e-05
78,1015.89,1.13081,0.61486,1.07691,0.75871,0.68904,0.70053,0.38786,1.75605,0.99523,1.59561,6.73416e-05,6.73416e-05,6.73416e-05
79,1031.58,1.12473,0.61186,1.07861,0.7596,0.6872,0.70557,0.39106,1.7522,0.99269,1.59356,4.96578e-05,4.96578e-05,4.96578e-05
80,1044.84,1.11335,0.5982,1.07305,0.7654,0.68422,0.70527,0.38899,1.76189,0.99569,1.60129,3.19739e-05,3.19739e-05,3.19739e-05
