epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3031,1.4254,2.22052,1.28084,0.55329,0.51676,0.49934,0.28213,1.30999,2.05307,1.22041,0.000473158,0.000473158,0.000473158
2,132.353,1.43257,1.58169,1.2681,0.49412,0.57245,0.47649,0.28629,1.26327,1.84505,1.23576,0.000937741,0.000937741,0.000937741
3,189.639,1.4327,1.42515,1.26742,0.47395,0.58126,0.49869,0.28154,1.38665,1.57152,1.31368,0.00139054,0.00139054,0.00139054
4,253.13,1.42105,1.34549,1.28024,0.58671,0.64274,0.62855,0.36655,1.32104,1.30318,1.26425,0.00137595,0.00137595,0.00137595
5,305.364,1.39429,1.2396,1.25066,0.57745,0.58575,0.58508,0.35217,1.24964,1.65534,1.2264,0.00135826,0.00135826,0.00135826
6,349.521,1.36856,1.19832,1.2332,0.59434,0.63819,0.63672,0.36307,1.34165,1.22183,1.26855,0.00134058,0.00134058,0.00134058
7,430.965,1.36382,1.15089,1.23286,0.61225,0.64405,0.66405,0.41659,1.19303,1.12249,1.17905,0.0013229,0.0013229,0.0013229
8,482.726,1.3591,1.10342,1.23653,0.66707,0.62286,0.67889,0.4186,1.20134,1.10946,1.18759,0.00130521,0.00130521,0.00130521
9,526.861,1.35288,1.10236,1.23798,0.61112,0.68802,0.65608,0.3891,1.25149,1.09413,1.20846,0.00128753,0.00128753,0.00128753
10,578.191,1.31802,1.07774,1.21445,0.61214,0.6899,0.68805,0.4277,1.20513,1.22122,1.19857,0.00126985,0.00126985,0.00126985
11,631.516,1.32844,1.05347,1.21391,0.58139,0.72829,0.64166,0.40096,1.17922,1.05316,1.17736,0.00125216,0.00125216,0.00125216
12,681.684,1.31903,1.02271,1.21468,0.65905,0.67133,0.70466,0.4324,1.19369,1.01295,1.18707,0.00123448,0.00123448,0.00123448
13,730.847,1.29956,1.02428,1.20865,0.62123,0.73924,0.6751,0.42398,1.16858,1.00927,1.17428,0.00121679,0.00121679,0.00121679
