epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4733,1.42466,2.14497,1.25784,0.44319,0.43163,0.37915,0.22394,1.35859,2.11191,1.25407,0.000473611,0.000473611,0.000473611
2,95.0309,1.42903,1.54268,1.26076,0.54938,0.58443,0.56231,0.32742,1.3495,1.42471,1.2346,0.000938189,0.000938189,0.000938189
3,140.644,1.43485,1.38451,1.26585,0.5591,0.56518,0.56756,0.31236,1.38246,1.51785,1.28158,0.00139098,0.00139098,0.00139098
4,182.199,1.4314,1.26314,1.27291,0.57129,0.66039,0.58832,0.33602,1.34267,1.31731,1.2545,0.00137595,0.00137595,0.00137595
5,218.584,1.38791,1.1873,1.25071,0.55943,0.66075,0.59205,0.36363,1.26081,1.11735,1.19401,0.00135826,0.00135826,0.00135826
6,248.983,1.37447,1.14632,1.24894,0.60005,0.62366,0.59917,0.35897,1.25645,1.22599,1.17945,0.00134058,0.00134058,0.00134058
7,287.949,1.36673,1.1068,1.24071,0.61694,0.66432,0.64473,0.39166,1.24641,1.09952,1.18343,0.0013229,0.0013229,0.0013229
8,335.081,1.34901,1.07607,1.22684,0.65857,0.65571,0.68542,0.40036,1.25792,1.04299,1.19084,0.00130521,0.00130521,0.00130521
9,379.65,1.3195,1.05801,1.2182,0.66226,0.69758,0.7148,0.4385,1.22711,1.04724,1.1653,0.00128753,0.00128753,0.00128753
10,427.977,1.31041,1.0192,1.21281,0.66187,0.66954,0.69807,0.41832,1.31534,1.08183,1.19908,0.00126985,0.00126985,0.00126985
11,481.816,1.2983,1.00321,1.19958,0.62507,0.74111,0.71176,0.44149,1.22229,0.9404,1.16921,0.00125216,0.00125216,0.00125216
12,535.588,1.29667,0.98656,1.20433,0.69401,0.69356,0.73325,0.44832,1.23465,0.96376,1.17574,0.00123448,0.00123448,0.00123448
13,590.261,1.28792,0.96491,1.19467,0.68441,0.64494,0.698,0.4109,1.26026,1.01685,1.18306,0.00121679,0.00121679,0.00121679
14,643.745,1.27728,0.95349,1.18831,0.64911,0.65689,0.69738,0.4236,1.2541,0.9584,1.17292,0.00119911,0.00119911,0.00119911
15,696.384,1.2761,0.93026,1.18989,0.66714,0.73371,0.72047,0.42891,1.29168,0.94769,1.19138,0.00118143,0.00118143,0.00118143
16,751.845,1.26298,0.93401,1.19075,0.68061,0.69425,0.71933,0.44234,1.24061,1.00641,1.17758,0.00116374,0.00116374,0.00116374
17,783.588,1.24335,0.91248,1.18074,0.70291,0.71527,0.72925,0.44451,1.21971,0.88397,1.17209,0.00114606,0.00114606,0.00114606
18,804.985,1.21939,0.88347,1.15815,0.67186,0.73659,0.74084,0.46245,1.2275,0.91049,1.15643,0.00112837,0.00112837,0.00112837
